HydraII 0.01 0.20 0.01 0.001 0.190 0.016 -0.047 0.036 0.148 0.126 0.190 0.169 
LeoT 0.10 nan nan 0.116 0.338 0.201 -0.219 0.104 0.104 0.066 0.347 0.126 
LeoII 0.13 0.05 0.05 0.064 0.381 0.088 -0.117 0.062 0.156 0.133 0.146 0.134 
Segue2 0.15 0.10 0.10 0.067 0.441 0.086 -0.132 0.064 0.104 0.124 0.213 0.172 
LeoI 0.21 0.03 0.03 0.145 0.366 0.187 -0.151 0.057 0.121 0.230 0.131 0.216 
HorologiumI 0.28 nan nan 0.181 0.402 0.277 -0.226 0.075 0.081 0.063 0.244 0.189 
Fornax 0.30 0.01 0.01 0.138 0.393 0.216 -0.197 0.066 0.118 0.117 0.359 0.206 
Draco 0.31 0.02 0.02 0.156 0.375 0.219 -0.201 0.062 0.170 0.236 0.325 0.273 
Sculptor 0.32 0.03 0.03 0.158 0.347 0.249 -0.204 0.069 0.152 0.160 0.322 0.232 
Carina 0.33 0.05 0.05 0.130 0.481 0.197 -0.184 0.060 0.122 0.125 0.389 0.258 
Sextans 0.35 0.05 0.05 0.144 0.372 0.261 -0.198 0.069 0.140 0.128 0.282 0.206 
Coma 0.38 0.14 0.14 0.149 0.438 0.216 -0.200 0.079 0.146 0.162 0.299 0.239 
BootesI 0.39 0.06 0.06 0.151 0.533 0.232 -0.222 0.071 0.180 0.019 0.290 0.140 
CVnI 0.39 0.03 0.03 0.126 0.296 0.223 -0.212 0.068 0.116 0.013 0.215 0.165 
TucanaII 0.39 0.10 0.20 0.088 0.308 0.136 -0.185 0.082 0.146 0.089 0.306 0.145 
PiscesII 0.40 0.10 0.10 0.092 0.481 0.199 -0.216 0.079 0.146 0.064 0.282 0.193 
GruI 0.41 0.20 0.28 0.089 0.517 0.137 -0.194 0.112 0.100 0.126 0.189 0.196 
Willman1 0.47 0.08 0.08 0.174 0.337 0.261 -0.233 0.064 0.095 -0.008 0.209 0.128 
Segue1 0.48 0.13 0.13 0.096 0.395 0.221 -0.225 0.064 0.129 0.077 0.276 0.190 
LeoIV 0.49 0.11 0.11 0.131 0.525 0.215 -0.225 0.064 0.111 0.010 0.291 0.152 
LeoV 0.50 0.15 0.15 0.153 0.589 0.256 -0.240 0.068 0.097 0.048 0.304 0.133 
CVnII 0.52 0.11 0.11 0.140 0.426 0.248 -0.251 0.071 0.104 -0.015 0.291 0.154 
UrsaMinor 0.56 0.05 0.05 0.020 0.490 0.179 -0.245 0.052 0.119 -0.042 0.130 0.113 
ReticulumII 0.59 0.02 0.03 0.118 0.564 0.272 -0.239 0.047 0.092 -0.056 0.091 0.123 
UrsaMajorII 0.63 0.05 0.05 0.185 0.362 0.284 -0.236 0.048 0.099 -0.040 0.078 0.114 
Hercules 0.68 0.08 0.08 0.118 0.410 0.265 -0.252 0.055 0.086 -0.043 0.092 0.088 
UrsaMajorI 0.80 0.04 0.04 0.069 0.629 0.233 -0.217 0.085 0.092 -0.081 0.081 0.120 
